STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2006,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,18.13031538,A,Annual,Vietnam,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2006,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,56.2668188085,A,Annual,West Bank and Gaza,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2006,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,169.7619048,A,Annual,"Yemen, Rep.",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2006,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,2.835497836,A,Annual,Zambia,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2006,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,34.70709726,A,Annual,Zimbabwe,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UZB,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,144.7089188,A,Annual,Uzbekistan,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,7.540366667,A,Annual,"Venezuela, RB",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,18.13031538,A,Annual,Vietnam,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,39.1527599487,A,Annual,West Bank and Gaza,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,169.7619048,A,Annual,"Yemen, Rep.",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,2.835497836,A,Annual,Zambia,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,32.08305952,A,Annual,Zimbabwe,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,7.540366667,A,Annual,"Venezuela, RB",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,18.13031538,A,Annual,Vietnam,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,43.1322207959,A,Annual,West Bank and Gaza,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,169.7619048,A,Annual,"Yemen, Rep.",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,2.835497836,A,Annual,Zambia,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,32.28759857,A,Annual,Zimbabwe,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,2.835497836,A,Annual,Zambia,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,32.90121573,A,Annual,Zimbabwe,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFG,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,54.75701944,A,Annual,Afghanistan,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,6.756850962,A,Annual,Albania,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DZA,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,109.7509498,A,Annual,Algeria,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AGO,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,1.871883289,A,Annual,Angola,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ATG,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,8.461538462,A,Annual,Antigua and Barbuda,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARG,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,10.45666408,A,Annual,Argentina,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,59.33024006,A,Annual,Armenia,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,2.835497836,A,Annual,Zambia,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,32.49213763,A,Annual,Zimbabwe,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UZB,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2018,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,160.3842845,A,Annual,Uzbekistan,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2018,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,7.540366667,A,Annual,"Venezuela, RB",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_ER_H2O_FWST_ZS,_T,_T,_T,PT_FRSH_WAT_RSC,_Z,_Z,_Z,2018,_Z,RATIO,2,WB_WDI,P1Y,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0,WB_WDI,PU,18.13031538,A,Annual,Vietnam,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Total,All age ranges or no breakdown by age,Total,Percentage of freshwater resources,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
